ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,FullAddress,CensusTract_Fetched
OLDER ADULT CENTER CONTRACTS,C3401,FOOD BANK FOR NEW YORK CITY OAC (C34),FOOD BANK FOR NEW YORK CITY,252 West 116th Street,NEW YORK,NY,10026,MANHATTAN,212-566-7855,Y,9:00,6:00,9:00,6:00,9:00,6:00,9:00,6:00,9:00,6:00,0:00,0:00,0:00,0:00,40.80386,-73.954062,110.0,9.0,218.0,1055248.0,1018310060.0,Central Harlem South,POINT (-73.954062 40.80386),"252 West 116th Street, NEW YORK, NY 10026",021800
OLDER ADULT CENTER CONTRACTS,C1714,CCNS NARROWS OAC (C17),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,930 53rd Street,BROOKLYN,NY,11219,BROOKLYN,718-232-2311,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.637498,-74.002266,312.0,38.0,116.0,3343065.0,3056660012.0,Borough Park,POINT (-74.002266 40.637498),"930 53rd Street, BROOKLYN, NY 11219",011600
OLDER ADULT CENTER CONTRACTS,C3511,HUGH GILROY OAC (C35),FORT GREENE COUNCIL,447 Kingsborough 4th Walk,BROOKLYN,NY,11233,BROOKLYN,718-756-8400,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.675242,-73.924931,308.0,41.0,307.0,3035751.0,3013440175.0,Crown Heights North,POINT (-73.924931 40.675242),"447 Kingsborough 4th Walk, BROOKLYN, NY 11233",030700
OLDER ADULT CENTER CONTRACTS,C1301,COUNCIL CTR FOR SENIOR CITIZENS (C13),BROOKLYN SECTION NATIONAL COUNCIL OF JEWISH WOMEN INC.,1001 Quentin road,BROOKLYN,NY,11223,BROOKLYN,718-627-7680,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.607755,-73.962822,315.0,44.0,420.0,3176314.0,3066420045.0,Homecrest,POINT (-73.962822 40.607755),"1001 Quentin road, BROOKLYN, NY 11223",042000
OLDER ADULT CENTER CONTRACTS,C1604,LEHMAN VILLAGE SENIOR PROGRAM (SOCIAL CLUB) (C16),CARTER BURDEN NETWORK INC.,1641 Madison Avenue,NEW YORK,NY,10029,MANHATTAN,646-370-5642,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.79584,-73.947866,111.0,8.0,17401.0,1078867.0,1016150023.0,East Harlem South,POINT (-73.947866 40.79584),"1641 Madison Avenue, NEW YORK, NY 10029",017401
OLDER ADULT CENTER CONTRACTS,C1719,CCNS ST. CHARLES JUBILEE OAC (C17),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,55 Pierrepont Street,BROOKLYN,NY,11201,BROOKLYN,718-855-0326,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.695783,-73.995117,302.0,33.0,501.0,3001825.0,3002367502.0,Brooklyn Heights-Cobble Hill,POINT (-73.995117 40.695783),"55 Pierrepont Street, BROOKLYN, NY 11201",000501
OLDER ADULT CENTER CONTRACTS,C0807,BERGEN BASIN VANDALIA OLDER ADULT CENTER (C08),BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,47 Vandalia Avenue,BROOKLYN,NY,11239,BROOKLYN,718-272-3949,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.649799,-73.88676,305.0,42.0,105804.0,3348859.0,3044310100.0,Starrett City,POINT (-73.88676 40.649799),"47 Vandalia Avenue, BROOKLYN, NY 11239",105804
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5001,PELHAM PARKWAY HOUSES NORC (N50),BRONX HOUSE INC,2435 WILLIAMSBRIDGE RD,BRONX,NY,10469,BRONX,718-652-6363,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.862084,-73.857697,211.0,13.0,324.0,,,Bronxdale,POINT (-73.857697 40.862084),"2435 WILLIAMSBRIDGE RD, BRONX, NY 10469",032400
OLDER ADULT CENTER CONTRACTS,C4601,QUEENSBRIDGE CENTER (C46),JACOB A RIIS NEIGHBORHOOD SETTLEMENT,10-25 41st Avenue,LONG ISLAND CITY,NY,11101,QUEENS,718-784-7447,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.755488,-73.945328,401.0,26.0,25.0,4433386.0,4004700100.0,Queensbridge-Ravenswood-Long Island City,POINT (-73.945328 40.755488),"10-25 41st Avenue, LONG ISLAND CITY, NY 11101",002500
OLDER ADULT CENTER CONTRACTS,C1708,CCNS RIVERWAY OAC (ISC) (C17),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,230 Riverdale Avenue,BROOKLYN,NY,11212,BROOKLYN,718-942-5345,Y,8:30,4:30,8:30,4:30,8:30,4:30,8:30,4:30,8:30,4:30,0:00,0:00,0:00,0:00,40.661083,-73.908024,316.0,42.0,916.0,3413856.0,3036030025.0,Brownsville,POINT (-73.908024 40.661083),"230 Riverdale Avenue, BROOKLYN, NY 11212",091600
OLDER ADULT CENTER CONTRACTS,C5501,POLISH & SLAVIC CTR KRAKUS OAC (+ SOCIAL SVS) (C55),POLISH & SLAVIC CENTER INC,176 Java Street,BROOKLYN,NY,11222,BROOKLYN,718-383-5290,Y,9:00,4:00,9:00,4:00,9:00,4:00,9:00,4:00,9:00,4:00,0:00,0:00,0:00,0:00,40.731692,-73.953577,301.0,33.0,575.0,3064615.0,3025510014.0,Greenpoint,POINT (-73.953577 40.731692),"176 Java Street, BROOKLYN, NY 11222",057500
OLDER ADULT CENTER CONTRACTS,C7201,RED HOOK NSC (C72),SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,120 West 9th Street,BROOKLYN,NY,11231,BROOKLYN,718-269-0519,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.675925,-74.001961,306.0,38.0,85.0,3339412.0,3005380001.0,Carroll Gardens-Columbia Street-Red Hook,POINT (-74.001961 40.675925),"120 West 9th Street, BROOKLYN, NY 11231",006500
OLDER ADULT CENTER CONTRACTS,W1302,GOLDEN PHOENIX 2 (ELMCOR LEFRAK NSC) (W13),ELMCOR YOUTH & ADULT ACTIVITIES INC,95-18 Northern Blvd,FLUSHING,NY,11368,QUEENS,718-651-0096,Y,9:00,4:00,9:00,4:00,9:00,4:00,9:00,4:00,9:00,4:00,0:00,0:00,0:00,0:00,40.756866,-73.872861,403.0,21.0,375.0,4042344.0,4017100010.0,North Corona,POINT (-73.872861 40.756866),"95-18 Northern Blvd, FLUSHING, NY 11368",037502
OLDER ADULT CENTER CONTRACTS,W1902,PSS DAVIDSON (W19),PRESBYTERIAN SENIOR SERVICES,950 Union Avenue,BRONX,NY,10459,BRONX,718-328-2811,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.822812,-73.901821,203.0,17.0,12901.0,2005015.0,2026780001.0,Longwood,POINT (-73.901821 40.822812),"950 Union Avenue, BRONX, NY 10459",012901
OLDER ADULT CENTER CONTRACTS,45D01,ELMCOR GOLDEN PHOENIX CLUB THREE (45D),ELMCOR YOUTH & ADULT ACTIVITIES INC,96-05 Horace Harding ExpressWay,FLUSHING,NY,11368,QUEENS,718-651-0096,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.734383,-73.864309,404.0,21.0,455.0,4047337.0,4019180114.0,Corona,POINT (-73.864309 40.734383),"96-05 Horace Harding ExpressWay, FLUSHING, NY 11368",045500
OLDER ADULT CENTER CONTRACTS,C8002,SUNSET PARK OAC (C80),SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH CENTERS A,4520 4th Avenue,BROOKLYN,NY,11220,BROOKLYN,718-210-1050,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.649111,-74.009845,307.0,38.0,80.0,3324373.0,3007460039.0,Sunset Park West,POINT (-74.009845 40.649111),"4520 4th Avenue, BROOKLYN, NY 11220",008000
OLDER ADULT CENTER CONTRACTS,C0701,SISTER ANNUNCIATA BETHELL OAC (C07),BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZENS INC,243 East 204th Street,BRONX,NY,10458,BRONX,718-365-3725,Y,8:30,4:30,8:30,4:30,8:30,4:30,8:30,4:30,8:30,4:30,0:00,0:00,0:00,0:00,40.874205,-73.884457,207.0,11.0,413.0,2017363.0,2033110146.0,Bedford Park-Fordham North,POINT (-73.884457 40.874205),"243 East 204th Street, BRONX, NY 10458",042500
OLDER ADULT CENTER CONTRACTS,C5808,RAIN MT. CARMEL OAC (C58),REGIONAL AID FOR INTERIM NEEDS INC,2405 Southern Boulevard,BRONX,NY,10462,BRONX,718-733-8852,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.853773,-73.881558,206.0,15.0,393.0,2013061.0,2031150005.0,Belmont,POINT (-73.881558 40.853773),"2405 Southern Boulevard, BRONX, NY 10462",039300
OLDER ADULT CENTER CONTRACTS,W1301,GOLDEN PHOENIX 1 (ELMCOR NSC) (W13),ELMCOR YOUTH & ADULT ACTIVITIES INC,98-19 Astoria Blvd,FLUSHING,NY,11369,QUEENS,718-651-0096,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.762296,-73.871089,403.0,21.0,367.0,4032768.0,4013720045.0,East Elmhurst,POINT (-73.871089 40.762296),"98-19 Astoria Blvd, FLUSHING, NY 11369",036700
OLDER ADULT CENTER CONTRACTS,C1717,CCNS THE LODGE OAC (C17),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,7711 18th Avenue,BROOKLYN,NY,11214,BROOKLYN,718-621-1081,Y,7:00,3:00,7:00,3:00,7:00,3:00,7:00,3:00,7:00,3:00,0:00,0:00,0:00,0:00,40.612087,-73.997288,311.0,47.0,274.0,3161485.0,3062490006.0,Bensonhurst West,POINT (-73.997288 40.612087),"7711 18th Avenue, BROOKLYN, NY 11214",027400
OLDER ADULT CENTER CONTRACTS,C9301,YMCA - GLEBE OLDER ADULT COMMUNITY HUB (C93),YMCA OF GREATER NEW YORK,2125 Glebe Avenue,BRONX,NY,10462,BRONX,212-912-2490,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.8351,-73.850368,210.0,18.0,20601.0,2041406.0,2039630043.0,Westchester-Unionport,POINT (-73.850368 40.8351),"2125 Glebe Avenue, BRONX, NY 10462",020601
OLDER ADULT CENTER CONTRACTS,C5101,NYFSC DYCKMAN OLDER ADULT CENTER (C51),NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,3754 10th Avenue,NEW YORK,NY,10034,MANHATTAN,212-569-7790,Y,8:30,4:30,8:30,4:30,8:30,4:30,8:30,4:30,8:30,4:30,0:00,0:00,0:00,0:00,40.860844,-73.921587,112.0,10.0,299.0,1080032.0,1022160001.0,Marble Hill-Inwood,POINT (-73.921587 40.860844),"3754 10th Avenue, NEW YORK, NY 10034",029900
OLDER ADULT CENTER CONTRACTS,C8501,UJCES LILLIAN WALD OAC CENTER (C85),UNITED JEWISH COUNCIL OF THE EAST SIDE INC,12 Ave D,NEW YORK,NY,10009,MANHATTAN,212-260-2731,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.720462,-73.978369,103.0,2.0,20.0,1078045.0,1003560001.0,Lower East Side,POINT (-73.978369 40.720462),"12 Ave D, NEW YORK, NY 10009",002000
OLDER ADULT CENTER CONTRACTS,W2009,STUYVESANT GARDENS SENIOR CLUB (W20),RISEBORO COMMUNITY PARTNERSHIP INC,150 Malcolm X Boulevard,BROOKLYN,NY,11221,BROOKLYN,347-318-3313,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.688335,-73.930144,303.0,36.0,293.0,3044658.0,3016360024.0,Stuyvesant Heights,POINT (-73.930144 40.688335),"150 Malcolm X Boulevard, BROOKLYN, NY 11221",029300
OLDER ADULT CENTER CONTRACTS,C0901,BRC SENIOR CENTER (C09),BOWERY RESIDENTS COMMITTEE INC,30 Delancy Street,NEW YORK,NY,10002,MANHATTAN,212-533-2020,Y,8:00,3:30,8:00,3:30,8:00,3:30,8:00,3:30,8:00,3:30,0:00,0:00,0:00,0:00,40.719792,-73.992269,103.0,1.0,18.0,1079081.0,1004200001.0,Chinatown,POINT (-73.992269 40.719792),"30 Delancy Street, NEW YORK, NY 10002",001800
OLDER ADULT CENTER CONTRACTS,C6201,RIVERSTONE SENIOR LIFE SERVICES OAC (C62),RIVERSTONE SENIOR LIFE SERVICES INC.,99 Fort Washington Avenue,NEW YORK,NY,10032,MANHATTAN,212-927-5600,Y,8:30,4:30,8:30,4:30,8:30,4:30,8:30,4:30,8:30,4:30,0:00,0:00,0:00,0:00,40.83851,-73.943738,112.0,10.0,247.0,1063346.0,1021360235.0,Washington Heights South,POINT (-73.943738 40.83851),"99 Fort Washington Avenue, NEW YORK, NY 10032",007100
OLDER ADULT CENTER CONTRACTS,C6601,SBH OLDER ADULT CENTER - SENIOR PAVILION (C66),SBH COMMUNITY SERVICE NETWORKINC.,1963 McDonald Avenue,BROOKLYN,NY,11223,BROOKLYN,718-787-1100,Y,8:30,4:30,8:30,4:30,8:30,4:30,8:30,4:30,9:00,1:00,0:00,0:00,0:00,0:00,40.604832,-73.972263,315.0,44.0,422.0,3397113.0,3066580062.0,Homecrest,POINT (-73.972263 40.604832),"1963 McDonald Avenue, BROOKLYN, NY 11223",042200
OLDER ADULT CENTER CONTRACTS,C9401,YOUNG ISRAEL PROGRAMS FOREST HILLS (C94),YOUNG ISRAEL PROGRAMS INC,68-07 Burns Street,FLUSHING,NY,11375,QUEENS,718-520-2305,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.721357,-73.851655,406.0,29.0,711.0,4077448.0,4032340089.0,Forest Hills,POINT (-73.851655 40.721357),"68-07 Burns Street, FLUSHING, NY 11375",071100
OLDER ADULT CENTER CONTRACTS,C7203,CORONA OAC (C72),SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,107-24 Corona Avenue,FLUSHING,NY,11368,QUEENS,718-321-0463,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.743551,-73.855705,404.0,21.0,439.0,4431694.0,4019420053.0,Corona,POINT (-73.855705 40.743551),"107-24 Corona Avenue, FLUSHING, NY 11368",043900
OLDER ADULT CENTER CONTRACTS,C1706,CCNS THE BAY OAC (C17),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,3643 Nostrand Avenue,BROOKLYN,NY,11229,BROOKLYN,718-648-2053,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.594966,-73.940825,315.0,46.0,572.0,3344554.0,3074051001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,POINT (-73.940825 40.594966),"3643 Nostrand Avenue, BROOKLYN, NY 11229",057200
OLDER ADULT CENTER CONTRACTS,C8401,THOMAS GUESS OAC (C84),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,2070 Clinton Avenue,BRONX,NY,10457,BRONX,718-584-2357,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.847236,-73.888101,206.0,15.0,371.0,2012652.0,2030940014.0,East Tremont,POINT (-73.888101 40.847236),"2070 Clinton Avenue, BRONX, NY 10457",037100
OLDER ADULT CENTER CONTRACTS,W1701,BERNIKOW OAC (W17),JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,1466 Manor Road,STATEN ISLAND,NY,10314,STATEN ISLAND,718-475-5284,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.594454,-74.125677,502.0,50.0,181.0,5141743.0,5009550100.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,POINT (-74.125677 40.594454),"1466 Manor Road, STATEN ISLAND, NY 10314",018100
OLDER ADULT CENTER CONTRACTS,W1802,SENIOR CENTER @ ST PETER'S CHURCH (W18),LENOX HILL NEIGHBORHOOD HOUSE INC,619 Lexington Avenue,NEW YORK,NY,10022,MANHATTAN,212-308-1959,Y,8:00,6:00,9:00,4:00,9:00,4:00,9:00,4:00,9:00,4:00,0:00,0:00,0:00,0:00,40.758698,-73.970744,106.0,4.0,100.0,1036474.0,1013087501.0,Turtle Bay-East Midtown,POINT (-73.970744 40.758698),"619 Lexington Avenue, NEW YORK, NY 10022",010000
OLDER ADULT CENTER CONTRACTS,C3302,FIND AID COFFEEHOUSE CENTER (C33),FIND AID FOR THE AGED,331 West 42nd Street,NEW YORK,NY,10036,MANHATTAN,646-545-4621,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.757677,-73.990821,104.0,3.0,121.0,1083731.0,1010330049.0,Clinton,POINT (-73.990821 40.757677),"331 West 42nd Street, NEW YORK, NY 10036",012101
OLDER ADULT CENTER CONTRACTS,C1712,CCNS BEST LIFE OAC (C17),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,118-35 Farmers Boulevard,JAMAICA,NY,11412,QUEENS,718-722-6095,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.689392,-73.762087,412.0,27.0,394.0,4000000.0,4126030063.0,St. Albans,POINT (-73.762087 40.689392),"118-35 Farmers Boulevard, JAMAICA, NY 11412",039400
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6401,LINDSAY PARK NORC (N64),ST. NICKS ALLIANCE CORP.,31 Leonard Street,BROOKLYN,NY,11206,BROOKLYN,718-874-0102,Y,9:00,4:00,9:00,4:00,9:00,4:00,9:00,4:00,9:00,4:00,0:00,0:00,0:00,0:00,40.70428,-73.946062,301.0,34.0,491.0,3327972.0,3030770001.0,East Williamsburg,POINT (-73.946062 40.70428),"31 Leonard Street, BROOKLYN, NY 11206",049100
OLDER ADULT CENTER CONTRACTS,W1906,PSS HARLEM (W19),PRESBYTERIAN SENIOR SERVICES,127 West 127th Street,NEW YORK,NY,10027,MANHATTAN,212-222-3132,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.809488,-73.945496,110.0,9.0,224.0,1057904.0,1019120012.0,Central Harlem North-Polo Grounds,POINT (-73.945496 40.809488),"127 West 127th Street, NEW YORK, NY 10027",022400
OLDER ADULT CENTER CONTRACTS,C5103,NYFSC MOTT STREET OLDER ADULT CENTER (C51),NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,180 Mott Street,NEW YORK,NY,10012,MANHATTAN,212-966-5460,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.7205,-73.995895,102.0,1.0,41.0,1007156.0,1004790001.0,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-73.995895 40.7205),"180 Mott Street, NEW YORK, NY 10012",004100
OLDER ADULT CENTER CONTRACTS,C6901,SAGE BRONX CENTER AT CROTONA PRIDE HOUSE (C69),SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,1784 Prospect Avenue,BRONX,NY,10457,BRONX,929-458-2150,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.841212,-73.891989,206.0,17.0,367.0,2000000.0,2029520021.0,East Tremont,POINT (-73.891989 40.841212),"1784 Prospect Avenue, BRONX, NY 10457",036700
OLDER ADULT CENTER CONTRACTS,C3701,GRAND ST SETTLEMENT GRAND COALITION OF OLDER ADULTS OAC (C37),GRAND STREET SETTLEMENT INC,175  Delancey street,NEW YORK,NY,10002,MANHATTAN,646-201-4251,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.717466,-73.985004,103.0,1.0,1402.0,1000000.0,1003477501.0,Lower East Side,POINT (-73.985004 40.717466),"175  Delancey street, NEW YORK, NY 10002",001800
OLDER ADULT CENTER CONTRACTS,W2201,JASA BARTOW (COOP CITY NSC) (W22),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2049 Bartow Avenue,BRONX,NY,10475,BRONX,718-320-2066,Y,10:00,6:00,10:00,6:00,10:00,6:00,10:00,6:00,10:00,6:00,0:00,0:00,0:00,0:00,40.869472,-73.828582,210.0,12.0,46201.0,2097466.0,2051410100.0,Co-op City,POINT (-73.828582 40.869472),"2049 Bartow Avenue, BRONX, NY 10475",046205
CAREGIVER SERVICES CONTRACTS,1K501,NEIGHBORHOOD SHOPP CAREGIVER PROGRAM (1K5),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,975 Kelly Street,BRONX,NY,10459,BRONX,718-542-0006,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.822052,-73.895879,202.0,17.0,87.0,2114693.0,2027037501.0,Longwood,POINT (-73.895879 40.822052),"975 Kelly Street, BRONX, NY 10459",008700
OLDER ADULT CENTER CONTRACTS,C9201,WILLIAM HODSON OLDER ADULT CENTER (C92),WILLIAM HODSON COMMUNITY CENTER INC,1320 Webster Avenue,BRONX,NY,10456,BRONX,718-538-1515,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.834189,-73.90854,203.0,16.0,14701.0,2092074.0,2028940001.0,Claremont-Bathgate,POINT (-73.90854 40.834189),"1320 Webster Avenue, BRONX, NY 10456",014701
CASE MANAGEMENT SERVICES CONTRACTS,2MG01,JASA STOREFRONT CASE MANAGEMENT PROGRAM (2MG),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2211 CHURCH AVENUE,BROOKLYN,NY,11226,BROOKLYN,212-273-5200,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.650424,-73.958175,314.0,40.0,79602.0,3116881.0,3050890071.0,Prospect Lefferts Gardens-Wingate,POINT (-73.958175 40.650424),"2211 CHURCH AVENUE, BROOKLYN, NY 11226",079602
OLDER ADULT CENTER CONTRACTS,C6101,RSS CENTER FOR AGELESS LIVING (C61),RIVERDALE SENIOR SERVICES INC,2600 Netherland Avenue,BRONX,NY,10463,BRONX,718-884-5900,Y,8:00,5:00,8:00,5:00,8:00,5:00,8:00,5:00,8:00,5:00,0:00,0:00,0:00,0:00,40.878744,-73.915679,208.0,11.0,29302.0,2083247.0,2057220475.0,Spuyten Duyvil-Kingsbridge,POINT (-73.915679 40.878744),"2600 Netherland Avenue, BRONX, NY 10463",029302
OLDER ADULT CENTER CONTRACTS,C3103,PATTERSON OLDER ADULT CENTERS (C31),EAST SIDE HOUSE INC,308 E 145 Street,BRONX,NY,10451,BRONX,718-993-5146,Y,8:30,4:30,8:30,4:30,8:30,4:30,8:30,4:30,8:30,4:30,0:00,0:00,0:00,0:00,40.815197,-73.922179,201.0,8.0,51.0,2091115.0,2023240001.0,Mott Haven-Port Morris,POINT (-73.922179 40.815197),"308 E 145 Street, BRONX, NY 10451",005100
OLDER ADULT CENTER CONTRACTS,C0401,AMICO 59TH ST SENIOR CITIZEN CTR (C04),AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AMICO,5901 13th Avenue,BROOKLYN,NY,11219,BROOKLYN,718-972-1558,Y,10:00,6:00,10:00,6:00,10:00,6:00,10:00,6:00,10:00,6:00,10:00,6:00,10:00,6:00,40.629332,-73.998022,312.0,44.0,192.0,3141065.0,3057120001.0,Borough Park,POINT (-73.998022 40.629332),"5901 13th Avenue, BROOKLYN, NY 11219",019200
CAREGIVER SERVICES CONTRACTS,6K501,VISIONS CAREGIVER CITYWIDE (6K5),VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,500 Greenwich Street,NEW YORK,NY,10013,MANHATTAN,212-625-1616,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.725564,-74.009178,102.0,1.0,37.0,1076084.0,1005957501.0,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.009178 40.725564),"500 Greenwich Street, NEW YORK, NY 10013",003700
CASE MANAGEMENT SERVICES CONTRACTS,4MF01,CCNS CMA QN 9 10 12 (4MF),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,183-16 Jamaica Avenue,JAMAICA,NY,11432,QUEENS,718-217-0126,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.708932,-73.776983,412.0,27.0,444.0,4438800.0,4103520058.0,Jamaica,POINT (-73.776983 40.708932),"183-16 Jamaica Avenue, JAMAICA, NY 11432",044400
OLDER ADULT CENTER CONTRACTS,C3201,BENSONHURST SENIOR CENTER (C32),EDITH AND CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST,7802 Bay Parkway,BROOKLYN,NY,11214,BROOKLYN,718-331-6800,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.606369,-73.989235,311.0,43.0,270.0,3162352.0,3062640030.0,Bensonhurst West,POINT (-73.989235 40.606369),"7802 Bay Parkway, BROOKLYN, NY 11214",027000
OLDER ADULT CENTER CONTRACTS,C7210,RAICES ASTORIA SOCIAL CLUB (C72),SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,4-05 Astoria Blvd,LONG ISLAND CITY,NY,11102,QUEENS,718-762-9642,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.772947,-73.933467,401.0,22.0,87.0,4430787.0,4004900101.0,Old Astoria,POINT (-73.933467 40.772947),"4-05 Astoria Blvd, LONG ISLAND CITY, NY 11102",008700
OLDER ADULT CENTER CONTRACTS,C4701,JCCGCI CONEY ISLAND SEASIDE OLDER ADULT CENTER (ISC) (C47),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,3001 West 37th Street,BROOKLYN,NY,11224,BROOKLYN,718-449-6363,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.573177,-74.002509,313.0,47.0,340.0,3189617.0,3070650001.0,Seagate-Coney Island,POINT (-74.002509 40.573177),"3001 West 37th Street, BROOKLYN, NY 11224",034000
